Country,GDP per capita (USD),Life satisfaction
Afghanistan  ,20338044,32033
Albania,11586834,4959
Armenia,13653764,46768
Azerbaijan,14867943,5212
Bangladesh,35116455,4694
Belgium,48769727,6834
Benin,33231445,50452
Bolivia,7845171,57159
Bosnia and Herzegovina,14509266,58131
Brazil,14063982,63301
Bulgaria,22379094,52655
Burundi,73106323,37753
Cambodia,41915664,48304
Cameroon,36664106,51418
Canada,46064254,71033
Chad,15190367,43554
Chile,23324525,61719
Colombia,13448933,60124
Comoros,29891704,42886
Cyprus,38816094,62235
Czechia,38511.27,69647
Denmark,55819.91,76195
Dominican Republic,17003014,55451
Ecuador,10329199,5764
Egypt,11951447,42827
El Salvador,7982626,60605
Estonia,35257.16,61888
France,42320523,66899
Gabon,14320845,48518
Gambia,21567546,5051
Georgia,13966326,48914
Germany,51423234,71545
Ghana,54457256,50884
Greece,27072.62,57226
Guatemala,8393284,64345
Guinea,26708232,49843
Haiti,29342458,36149
Honduras,51383853,59192
Hong Kong,56153973,54767
Hungary,31098396,59916
